Foster Species,C. canorus Egg Length,C. canorus Egg Width 
Garden Warbler,23,16.8
Garden Warbler,22.9,16
Garden Warbler,23.2,17
Orphean Warbler,24.4,17.9
Orphean Warbler,21.5,16
Orphean Warbler,23.3,16.4
Orphean Warbler,22.3,16.3
Reed Warbler,23.2,16.9
Reed Warbler,22,17.1
Reed Warbler,22.2,17
Reed Warbler,21.2,16.1
Reed Warbler,21.6,16.5
Reed Warbler,21.6,16.5
Reed Warbler,21.9,16.1
Reed Warbler,22,16.5
Reed Warbler,22.9,17.9
Reed Warbler,22.8,16.5
Marsh Warbler,22.7,16.7
Lesser Whitethroat,21,16
Lesser Whitethroat,22.5,16.2
Barred Warbler,21.9,16.8
Red Start,24,17.7
Red Start,23.2,16.2
Red Start,22.3,16.7
Red Start,23,17
Saxicola Melanoleuca,23.1,17.1
Reed Bunting ,23.2,16.9
Reed Bunting ,20.9,15.9
Yellow Ammer,22.5,16
Yellow Ammer,21.9,16
Yellow Ammer,22.5,16.1
Yellow Ammer,23.3,17.2
Yellow Ammer,23.2,16.5
Yellow Ammer,23,17
Yellow Ammer,21.1,17
Yellow Ammer,22.9,17
Yellow Ammer,23.3,16.8
Corn Bunting,20.1,15.8
Corn Bunting,22.9,17
Chaffinch,23.3,16.1
Chaffinch,22.3,16.2
Chaffinch,22.9,17.3
Chaffinch,21.2,15.7
Goldfinch,20.9,16
Greenfinch,22.7,14.5
Greenfinch,22.8,16.7
Greenfinch,22.1,16.9
Greenfinch,23.4,17
Greenfinch,21.2,16.2
Greenfinch,22.5,17
House Sparrow,23.9,17.7
Tree Sparrow,24,16
Nightingale,22.8,17.2
Nightingale,23.2,16
Spotted Flycatcher,22.1,15.8
Spotted Flycatcher,22.4,16.5
Lesser Grey Shrike,23,16.8
Woodchat Shrike,22,17
Red Backed Shrike,22.1,17.1
Red Backed Shrike,20.8,15.7
Sky Lark,22.2,18.1
Sky Lark,21.2,15.6
Crested Lark,22.5,16.4
Crested Lark,21.1,15.9
Pied Wagtail,23,16.3
Pied Wagtail,23.4,16.7
Pied Wagtail,24,17
Pied Wagtail,23.3,16.3
Pied Wagtail,23.1,16.7
Pied Wagtail,22.4,16.5
Pied Wagtail,21.8,16
Pied Wagtail,21.8,16
Pied Wagtail,24.9,16.8
Pied Wagtail,24,15.8
Pied Wagtail,22.1,16.2
Pied Wagtail,21,17.1
Pied Wagtail,22.6,16
Pied Wagtail,21.9,16.9
Pied Wagtail,24,17.2
White Wagtail,22.3,16.8
White Wagtail,22.6,17
White Wagtail,22,17
White Wagtail,22.7,16.9
White Wagtail,22.3,17.3
White Wagtail,22.5,16.9
Blueheaded-Yellow Wagtail,21.2,15.9
Blueheaded-Yellow Wagtail,22.4,17.2
Yellow Wagtail,22.2,16.7
Yellow Wagtail,22.2,16.4
Yellow Wagtail,23,16.3
Wren,19.8,15
Wren,22.1,16
Wren,21.5,16.2
Wren,20.9,15.7
Wren,22,16.2
Wren,21,15.5
Wren,22.3,16
Wren,21,15.9
Wren,20.3,15.5
Wren,20.9,15.9
Wren,22,16
Wren,20,15.7
Wren,20.8,15.9
Wren,21.2,16
Wren,21,16
Fire Crested Wren,24.2,16.9
Wheatear,22.8,16.6
Linnet,24.7,16.3
Linnet,24,18.8
Linnet,22.9,17.1
